location,description
PTG0058-EV-BTL01GU201-F11,DC Charger IMD
PTG0058-EV-BTL01GU201-H01,SIM for Charger
PTG0058-EV-CYA01GN001,Router & POE Switch
PTG0058-EV-CYA01GN102,CCTV 2
PTG0058-EV-CYA01GN301,SIM for Router
PTG0058-EV-BJB01GH001,Lighting
PTG0059,PTG Khlongkhlung 4
PTG0059-EV-UMC01US001,Main Structure
PTG0059-EV-UMC01GH001,Logo Sign
PTG0059-EV-UMC01BB002,Fire Extinguisher 2
PTG0059-EV-BFA01GH001,MDB
PTG0059-EV-BTL01GU201-A01,DC Charger Power Module
PTG0059-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0059-EV-BTL01GU201-A61,DC Charger Contactor
PTG0059-EV-BTL01GU201-A81,DC Charger SECC
PTG0059-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0058-EV-BTL01GU201-A61,DC Charger Contactor
PTG0058-EV-BTL01GU201-A81,DC Charger SECC
PTG0058-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0058-EV-BTL01GU201-E01,DC Charger HMI
PTG0058-EV-CYA01GH001,Consumer Unit
PTG0058-EV-CYA01GN101,CCTV 1
PTG0058-EV-CYA01GN201,NVR
PTG0058-EV-CYA01GU001,UPS
PTG0059-EV,EVCS Elex @ PTG Khlongkhlung 4
PTG0059-EV-UMC01US002,Parking lot
PTG0059-EV-UMC01BB001,Fire Extinguisher 1
PTG0059-EV-AJA01GT001,Transformer
PTG0059-EV-BTL01GU201,DC Charger 125kW
PTG0059-EV-BTL01GU201-A11,DC Charger Controller
PTG0059-EV-BTL01GU201-A31,DC Charger Meter
PTG0059-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0059-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0059-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0059-EV-BTL01GU201-F11,DC Charger IMD
PTG0059-EV-BTL01GU201-H01,SIM for Charger
PTG0059-EV-CYA01GN001,Router & POE Switch
PTG0059-EV-CYA01GN102,CCTV 2
PTG0059-EV-CYA01GN301,SIM for Router
PTG0059-EV-BJB01GH001,Lighting
PTG0060,PTG Lomsak 4
PTG0060-EV-UMC01US001,Main Structure
PTG0060-EV-UMC01GH001,Logo Sign
PTG0057-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0057-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0057-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0057-EV-BTL01GU201-F11,DC Charger IMD
PTG0057-EV-BTL01GU201-H01,SIM for Charger
PTG0057-EV-CYA01GN001,Router & POE Switch
PTG0057-EV-CYA01GN102,CCTV 2
PTG0057-EV-CYA01GN301,SIM for Router
PTG0059-EV-BTL01GU201-A41,DC Charger Filter
PTG0060-EV-UMC01BB002,Fire Extinguisher 2
PTG0060-EV-BFA01GH001,MDB
PTG0060-EV-BTL01GU201-A01,DC Charger Power Module
PTG0060-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0060-EV-BTL01GU201-A41,DC Charger Filter
PTG0060-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0060-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0060-EV-BTL01GU201-F11,DC Charger IMD
PTG0060-EV-BTL01GU201-H01,SIM for Charger
PTG0060-EV-CYA01GN001,Router & POE Switch
PTG0060-EV-CYA01GN102,CCTV 2
PTG0060-EV-CYA01GN301,SIM for Router
PTG0060-EV-BJB01GH001,Lighting
PTG0061,PTG Warin 6
PTG0061-EV-UMC01US001,Main Structure
PTG0061-EV-UMC01GH001,Logo Sign
PTG0061-EV-BTL01GU201-A81,DC Charger SECC
PTG0061-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0061-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0061-EV-BTL01GU201-F11,DC Charger IMD
PTG0061-EV-BTL01GU201-E01,DC Charger HMI
PTG0061-EV-BTL01GU201-H01,SIM for Charger
PTG0061-EV-CYA01GH001,Consumer Unit
PTG0061-EV-CYA01GN001,Router & POE Switch
PTG0061-EV-CYA01GN101,CCTV 1
PTG0061-EV-CYA01GN102,CCTV 2
PTG0061-EV-CYA01GN201,NVR
PTG0061-EV-CYA01GN301,SIM for Router
PTG0061-EV-CYA01GU001,UPS
PTG0061-EV-BJB01GH001,Lighting
PTG0062,PTG Huai Bong 3
PTG0062-EV,EVCS Elex @ PTG Huai Bong 3
PTG0062-EV-UMC01US001,Main Structure
PTG0062-EV-UMC01US002,Parking lot
PTG0062-EV-UMC01GH001,Logo Sign
PTG0062-EV-UMC01BB001,Fire Extinguisher 1
PTG0062-EV-UMC01BB002,Fire Extinguisher 2
PTG0062-EV-AJA01GT001,Transformer
PTG0062-EV-BFA01GH001,MDB
PTG0062-EV-BTL01GU201,DC Charger 125kW
PTG0062-EV-BTL01GU201-A01,DC Charger Power Module
PTG0062-EV-BTL01GU201-A11,DC Charger Controller
PTG0062-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0062-EV-BTL01GU201-A31,DC Charger Meter
PTG0062-EV-BTL01GU201-A41,DC Charger Filter
PTG0060-EV-BTL01GU201-A61,DC Charger Contactor
PTG0060-EV-BTL01GU201-A81,DC Charger SECC
PTG0060-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0060-EV-BTL01GU201-E01,DC Charger HMI
PTG0060-EV-CYA01GH001,Consumer Unit
PTG0060-EV-CYA01GN101,CCTV 1
PTG0060-EV-CYA01GN201,NVR
PTG0060-EV-CYA01GU001,UPS
PTG0061-EV,EVCS Elex @ PTG Warin 6
PTG0061-EV-UMC01US002,Parking lot
PTG0061-EV-UMC01BB001,Fire Extinguisher 1
PTG0062-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0062-EV-BTL01GU201-A61,DC Charger Contactor
PTG0062-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0062-EV-BTL01GU201-A81,DC Charger SECC
PTG0062-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0062-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0062-EV-BTL01GU201-F11,DC Charger IMD
PTG0062-EV-BTL01GU201-E01,DC Charger HMI
PTG0062-EV-BTL01GU201-H01,SIM for Charger
PTG0062-EV-CYA01GH001,Consumer Unit
PTG0062-EV-CYA01GN001,Router & POE Switch
PTG0062-EV-CYA01GN101,CCTV 1
PTG0062-EV-CYA01GN102,CCTV 2
PTG0062-EV-CYA01GN201,NVR
PTG0062-EV-CYA01GN301,SIM for Router
PTG0062-EV-CYA01GU001,UPS
PTG0066-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0066-EV-BTL01GU201-A41,DC Charger Filter
PTG0066-EV-BTL01GU201-A61,DC Charger Contactor
PTG0066-EV-BTL01GU201-A81,DC Charger SECC
PTG0066-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0066-EV-BTL01GU201-E01,DC Charger HMI
PTG0066-EV-CYA01GH001,Consumer Unit
PTG0066-EV-CYA01GN101,CCTV 1
PTG0066-EV-CYA01GN201,NVR
PTG0066-EV-CYA01GU001,UPS
PTG0067-EV,EVCS Elex @ PTG Phatthalung 2
PTG0067-EV-UMC01US002,Parking lot
PTG0067-EV-UMC01BB001,Fire Extinguisher 1
PTG0067-EV-AJA01GT001,Transformer
PTG0067-EV-BTL01GU201,DC Charger 125kW
PTG0067-EV-BTL01GU201-A11,DC Charger Controller
PTG0067-EV-BTL01GU201-A31,DC Charger Meter
PTG0067-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0067-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0067-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0067-EV-BTL01GU201-F11,DC Charger IMD
PTG0067-EV-BTL01GU201-H01,SIM for Charger
PTG0067-EV-CYA01GN001,Router & POE Switch
PTG0067-EV-CYA01GN102,CCTV 2
PTG0067-EV-CYA01GN301,SIM for Router
PTG0067-EV-BJB01GH001,Lighting
EGT0068,Royal Navy Nanta Utthayan
PTG0064-EV-UMC01US002,Parking lot
PTG0064-EV-UMC01BB001,Fire Extinguisher 1
PTG0064-EV-AJA01GT001,Transformer
PTG0065-EV-BTL01GU201-A01,DC Charger Power Module
PTG0065-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0065-EV-BTL01GU201-A41,DC Charger Filter
PTG0065-EV-BTL01GU201-A61,DC Charger Contactor
PTG0065-EV-BTL01GU201-A81,DC Charger SECC
PTG0065-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0065-EV-BTL01GU201-E01,DC Charger HMI
PTG0065-EV-CYA01GH001,Consumer Unit
PTG0065-EV-CYA01GN101,CCTV 1
PTG0065-EV-CYA01GN201,NVR
PTG0065-EV-CYA01GU001,UPS
PTG0066-EV,EVCS Elex @ PTG Trang 2
PTG0066-EV-UMC01US002,Parking lot
PTG0066-EV-UMC01GH001,Logo Sign
PTG0066-EV-UMC01BB002,Fire Extinguisher 2
PTG0066-EV-BFA01GH001,MDB
PTG0066-EV-BTL01GU201-A01,DC Charger Power Module
EGT0068-EV-UMC01US002,Parking lot
EGT0068-EV-UMC01GH002,Main Structure (AC)
EGT0068-EV-UMC01BB002,Fire Extinguisher 2
EGT0068-EV-BFA01GH001,MDB
EGT0068-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0069-EV,EVCS Elex @ Goverment House
EGT0069-EV-BTL01GU201-A61,DC Charger Contactor
EGT0069-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
EGT0069-EV-BTL01GU201-A81,DC Charger SECC
EGT0069-EV-BTL01GU201-A91,DC Charger Power Supply
EGT0069-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0069-EV-BTL01GU201-F11,DC Charger IMD
EGT0069-EV-BTL01GU201-E01,DC Charger HMI
EGT0069-EV-BTL01GU201-H01,SIM for Charger 1
EGT0069-EV-BTL01GU101,AC Charger 22kW 1
EGT0069-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0069-EV-BTL01GU101-H01,SIM for Charger 2
EGT0069-EV-BTL01GU102,AC Charger 22kW 2
EGT0069-EV-BTL01GU102-A51,AC Charger Charging Gun
EGT0069-EV-BTL01GU102-H01,SIM for Charger 3
EGT0069-EV-CYA01GH001,Consumer Unit
EGT0069-EV-CYA01GN001,Router & POE Switch
EGT0069-EV-CYA01GN101,CCTV 1
EGT0069-EV-CYA01GN102,CCTV 2
EGT0069-EV-CYA01GN201,NVR
EGT0069-EV-CYA01GN301,SIM for Router
EGT0069-EV-CYA01GU001,UPS
EGT0069-EV-BJB01GH001,Lighting
EGT0070,Eastern Economic Corridor of Innovation
EGT0070-EV,EVCS Elex @ Eastern Economic Corridor of Innovation
EGT0070-EV-UMC01US002,Parking lot
EGT0070-EV-UMC01GH001,Logo Sign
EGT0070-EV-UMC01GH002,Main Structure (AC)
EGT0070-EV-UMC01BB001,Fire Extinguisher 1
PTG0063-EV-BTL01GU201-A11,DC Charger Controller
PTG0063-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0063-EV-BTL01GU201-A31,DC Charger Meter
PTG0063-EV-BTL01GU201-A41,DC Charger Filter
PTG0063-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0063-EV-BTL01GU201-A61,DC Charger Contactor
PTG0063-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0063-EV-BTL01GU201-A81,DC Charger SECC
PTG0063-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0063-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0063-EV-BTL01GU201-F11,DC Charger IMD
PTG0063-EV-BTL01GU201-E01,DC Charger HMI
PTG0063-EV-BTL01GU201-H01,SIM for Charger
PTG0063-EV-CYA01GH001,Consumer Unit
PTG0063-EV-CYA01GN001,Router & POE Switch
PTG0063-EV-CYA01GN101,CCTV 1
PTG0063-EV-CYA01GN102,CCTV 2
PTG0063-EV-CYA01GN201,NVR
PTG0063-EV-CYA01GN301,SIM for Router
PTG0063-EV-CYA01GU001,UPS
PTG0063-EV-BJB01GH001,Lighting
PTG0064,PTG Chaiya 3
PTG0064-EV,EVCS Elex @ PTG Chaiya 3
PTG0064-EV-BTL01GU201,DC Charger 125kW
PTG0064-EV-BTL01GU201-A01,DC Charger Power Module
PTG0064-EV-BTL01GU201-A11,DC Charger Controller
PTG0064-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0064-EV-BTL01GU201-A31,DC Charger Meter
PTG0064-EV-BTL01GU201-A41,DC Charger Filter
PTG0064-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0064-EV-BTL01GU201-A61,DC Charger Contactor
PTG0064-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0064-EV-BTL01GU201-A81,DC Charger SECC
PTG0064-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0064-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0064-EV-BTL01GU201-F11,DC Charger IMD
PTG0064-EV-BTL01GU201-E01,DC Charger HMI
PTG0064-EV-BTL01GU201-H01,SIM for Charger
PTG0064-EV-CYA01GH001,Consumer Unit
PTG0064-EV-CYA01GN001,Router & POE Switch
PTG0064-EV-CYA01GN101,CCTV 1
PTG0064-EV-CYA01GN102,CCTV 2
PTG0064-EV-CYA01GN201,NVR
PTG0064-EV-CYA01GN301,SIM for Router
PTG0064-EV-CYA01GU001,UPS
PTG0064-EV-BJB01GH001,Lighting
PTG0065,PTG Krabi 2
PTG0065-EV,EVCS Elex @ PTG Krabi 2
PTG0065-EV-UMC01US001,Main Structure
PTG0065-EV-UMC01US002,Parking lot
PTG0065-EV-UMC01GH001,Logo Sign
PTG0065-EV-UMC01BB001,Fire Extinguisher 1
PTG0065-EV-UMC01BB002,Fire Extinguisher 2
PTG0065-EV-AJA01GT001,Transformer
PTG0065-EV-BFA01GH001,MDB
PTG0065-EV-BTL01GU201,DC Charger 125kW
PTG0066-EV-UMC01BB001,Fire Extinguisher 1
PTG0066-EV-AJA01GT001,Transformer
PTG0066-EV-BTL01GU201,DC Charger 125kW
PTG0066-EV-BTL01GU201-A11,DC Charger Controller
PTG0066-EV-BTL01GU201-A31,DC Charger Meter
PTG0066-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0066-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0066-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0066-EV-BTL01GU201-F11,DC Charger IMD
PTG0066-EV-BTL01GU201-H01,SIM for Charger
PTG0066-EV-CYA01GN001,Router & POE Switch
PTG0066-EV-CYA01GN102,CCTV 2
PTG0066-EV-CYA01GN301,SIM for Router
PTG0066-EV-BJB01GH001,Lighting
PTG0067,PTG Phatthalung 2
PTG0067-EV-UMC01US001,Main Structure
PTG0067-EV-UMC01GH001,Logo Sign
PTG0067-EV-UMC01BB002,Fire Extinguisher 2
PTG0067-EV-BFA01GH001,MDB
PTG0067-EV-BTL01GU201-A01,DC Charger Power Module
PTG0067-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0067-EV-BTL01GU201-A41,DC Charger Filter
PTG0067-EV-BTL01GU201-A61,DC Charger Contactor
PTG0067-EV-BTL01GU201-A81,DC Charger SECC
PTG0067-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0067-EV-BTL01GU201-E01,DC Charger HMI
PTG0067-EV-CYA01GH001,Consumer Unit
PTG0067-EV-CYA01GN101,CCTV 1
PTG0067-EV-CYA01GN201,NVR
PTG0067-EV-CYA01GU001,UPS
EGT0068-EV,EVCS Elex @ Royal Navy Nanta Utthayan
EGT0068-EV-UMC01GH001,Logo Sign
EGT0068-EV-UMC01BB001,Fire Extinguisher 1
EGT0068-EV-AJA01GT001,Transformer
EGT0068-EV-BTL01GU101,AC Charger 22kW 1
EGT0068-EV-BTL01GU101-H01,SIM for Charger 1
EGT0068-EV-BTL01GU102,AC Charger 22kW 2
EGT0068-EV-BTL01GU102-H01,SIM for Charger 2
EGT0068-EV-CYA01GN001,Router & POE Switch
EGT0068-EV-CYA01GN102,CCTV 2
EGT0068-EV-CYA01GN301,SIM for Router
EGT0068-EV-CYA01GU001,UPS
EGT0068-EV-BJB01GH001,Lighting
EGT0069,Goverment House
EGT0069-EV-UMC01GH001,Logo Sign
EGT0069-EV-UMC01GH002,Main Structure (AC)
EGT0069-EV-UMC01BB001,Fire Extinguisher 1
EGT0069-EV-UMC01BB002,Fire Extinguisher 2
EGT0069-EV-BFA01GH001,MDB
EGT0069-EV-BTL01GU201-A01,DC Charger Power Module
EGT0069-EV-BTL01GU201-A21,DC Charger Auxillary
EGT0069-EV-BTL01GU201-A41,DC Charger Filter
PTG0064-EV-UMC01US001,Main Structure
PTG0064-EV-UMC01GH001,Logo Sign
PTG0064-EV-UMC01BB002,Fire Extinguisher 2
PTG0064-EV-BFA01GH001,MDB
PTG0065-EV-BTL01GU201-A11,DC Charger Controller
PTG0065-EV-BTL01GU201-A31,DC Charger Meter
PTG0065-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0065-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0065-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0065-EV-BTL01GU201-F11,DC Charger IMD
PTG0065-EV-BTL01GU201-H01,SIM for Charger
PTG0065-EV-CYA01GN001,Router & POE Switch
PTG0065-EV-CYA01GN102,CCTV 2
PTG0065-EV-CYA01GN301,SIM for Router
PTG0065-EV-BJB01GH001,Lighting
PTG0066,PTG Trang 2
PTG0066-EV-UMC01US001,Main Structure
EGT0068-EV-BTL01GU102-A51,AC Charger Charging Gun
EGT0068-EV-CYA01GH001,Consumer Unit
EGT0068-EV-CYA01GN101,CCTV 1
EGT0068-EV-CYA01GN201,NVR
EGT0069-EV-UMC01US002,Parking lot
EGT0069-EV-AJA01GT001,Transformer
EGT0069-EV-BTL01GU201,DC Charger 60kW
EGT0069-EV-BTL01GU201-A11,DC Charger Controller
EGT0069-EV-BTL01GU201-A31,DC Charger Meter
EGT0069-EV-BTL01GU201-A51,DC Charger Charging Gun
EGT0072-EV-UMC01US002,Parking lot
EGT0072-EV-UMC01GH002,Main Structure (AC)
EGT0072-EV-UMC01BB002,Fire Extinguisher 2
EGT0072-EV-BFA01GH001,MDB
EGT0072-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0072-EV-BTL01GU102,AC Charger 22kW 2
EGT0072-EV-BTL01GU102-H01,SIM for Charger 2
EGT0072-EV-BTL01GU103-A51,AC Charger Charging Gun
EGT0072-EV-BTL01GU104,AC Charger 22kW 4
EGT0072-EV-BTL01GU104-H01,SIM for Charger 4
EGT0072-EV-BTL01GU105-A51,AC Charger Charging Gun
EGT0072-EV-BTL01GU106,AC Charger 22kW 6
EGT0072-EV-BTL01GU106-H01,SIM for Charger 6
EGT0072-EV-BTL01GU107-A51,AC Charger Charging Gun
EGT0072-EV-BTL01GU108,AC Charger 22kW 8
EGT0072-EV-CYA01GN101,CCTV 1
EGT0072-EV-CYA01GN201,NVR
EGT0072-EV-CYA01GU001,UPS
EGT0073-EV,EVCS Elex @ Porto Go Bang Pa In
EGT0073-EV-UMC01GH001,Logo Sign
EGT0073-EV-UMC01BB001,Fire Extinguisher 1
EGT0073-EV-AJA01GT001,Transformer
EGT0073-EV-BTL01GU201,DC Charger 125kW
EGT0073-EV-BTL01GU201-A11,DC Charger Controller
EGT0073-EV-BTL01GU201-A31,DC Charger Meter
EGT0073-EV-BTL01GU201-A51,DC Charger Charging Gun
EGT0073-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
EGT0070-EV-AJA01GT001,Transformer
EGT0070-EV-BTL01GU101,AC Charger 22kW 1
EGT0070-EV-BTL01GU101-H01,SIM for Charger 1
EGT0070-EV-BTL01GU102-A51,AC Charger Charging Gun
EGT0070-EV-CYA01GH001,Consumer Unit
EGT0070-EV-CYA01GN101,CCTV 1
EGT0070-EV-CYA01GN201,NVR
EGT0070-EV-CYA01GU001,UPS
EGT0071-EV-BTL01GU201-A01,DC Charger Power Module
EGT0071-EV-BTL01GU201-A21,DC Charger Auxillary
EGT0071-EV-BTL01GU201-A41,DC Charger Filter
EGT0071-EV-BTL01GU201-A61,DC Charger Contactor
EGT0071-EV-BTL01GU201-A81,DC Charger SECC
EGT0071-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0071-EV-BTL01GU201-E01,DC Charger HMI
EGT0071-EV-BTL01GU202,DC Charger 60kW
EGT0071-EV-BTL01GU202-A11,DC Charger Controller
EGT0071-EV-BTL01GU202-A31,DC Charger Meter
EGT0071-EV-BTL01GU202-A51,DC Charger Charging Gun
EGT0071-EV-BTL01GU202-A71,DC Charger Breaker (CB DS MS RCD)
EGT0071-EV-BTL01GU202-A91,DC Charger Power Supply
EGT0071-EV-BTL01GU202-F11,DC Charger IMD
EGT0071-EV-BTL01GU202-H01,SIM for Charger 2
EGT0071-EV-CYA01GN001,Router & POE Switch
EGT0071-EV-CYA01GN102,CCTV 2
EGT0071-EV-CYA01GN301,SIM for Router
EGT0071-EV-BJB01GH001,Lighting
EGT0071-EV-BTL01GU201,DC Charger 125kW
EGT0071-EV-BTL01GU201-A11,DC Charger Controller
EGT0071-EV-BTL01GU201-A31,DC Charger Meter
EGT0071-EV-BTL01GU201-A51,DC Charger Charging Gun
EGT0071-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
EGT0071-EV-BTL01GU201-A91,DC Charger Power Supply
EGT0071-EV-BTL01GU201-F11,DC Charger IMD
EGT0071-EV-BTL01GU201-H01,SIM for Charger 1
EGT0071-EV-BTL01GU202-A01,DC Charger Power Module
EGT0071-EV-BTL01GU202-A21,DC Charger Auxillary
EGT0072,Impact  Challenger Indoor Parking
EGT0072-EV,EVCS Elex @ Impact  Challenger Indoor Parking
EGT0072-EV-UMC01GH001,Logo Sign
EGT0072-EV-UMC01BB001,Fire Extinguisher 1
EGT0072-EV-AJA01GT001,Transformer
EGT0072-EV-BTL01GU101,AC Charger 22kW 1
EGT0072-EV-BTL01GU101-H01,SIM for Charger 1
EGT0072-EV-BTL01GU102-A51,AC Charger Charging Gun
EGT0072-EV-BTL01GU103,AC Charger 22kW 3
EGT0072-EV-BTL01GU103-H01,SIM for Charger 3
EGT0072-EV-BTL01GU104-A51,AC Charger Charging Gun
EGT0072-EV-BTL01GU105,AC Charger 22kW 5
EGT0072-EV-BTL01GU105-H01,SIM for Charger 5
EGT0072-EV-BTL01GU106-A51,AC Charger Charging Gun
EGT0072-EV-BTL01GU107,AC Charger 22kW 7
EGT0072-EV-BTL01GU107-H01,SIM for Charger 7
EGT0072-EV-BTL01GU108-A51,AC Charger Charging Gun
EGT0070-EV-UMC01BB002,Fire Extinguisher 2
EGT0070-EV-BFA01GH001,MDB
EGT0070-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0070-EV-BTL01GU102,AC Charger 22kW 2
EGT0070-EV-BTL01GU102-H01,SIM for Charger 2
EGT0070-EV-CYA01GN001,Router & POE Switch
EGT0070-EV-CYA01GN102,CCTV 2
EGT0070-EV-CYA01GN301,SIM for Router
EGT0070-EV-BJB01GH001,Lighting
EGT0071,Impact Arena-Novotel Outdoor Parking
EGT0071-EV-UMC01US002,Parking lot
EGT0071-EV-UMC01GH002,Main Structure (AC)
EGT0071-EV-UMC01BB002,Fire Extinguisher 2
EGT0071-EV-BFA01GH001,MDB
EGT0072-EV-BTL01GU108-H01,SIM for Charger 8
EGT0072-EV-BTL01GU109-A51,AC Charger Charging Gun
EGT0072-EV-CYA01GH001,Consumer Unit
EGT0072-EV-CYA01GN001,Router & POE Switch
EGT0072-EV-CYA01GN102,CCTV 2
EGT0072-EV-CYA01GN301,SIM for Router
EGT0072-EV-BJB01GH001,Lighting
EGT0073,Porto Go Bang Pa In
EGT0073-EV-UMC01US002,Parking lot
EGT0073-EV-UMC01GH002,Main Structure (AC)
EGT0073-EV-UMC01BB002,Fire Extinguisher 2
EGT0073-EV-BFA01GH001,MDB
EGT0073-EV-BTL01GU201-A01,DC Charger Power Module
EGT0073-EV-BTL01GU201-A21,DC Charger Auxillary
EGT0073-EV-BTL01GU201-A41,DC Charger Filter
EGT0073-EV-BTL01GU201-A61,DC Charger Contactor
EGT0073-EV-BTL01GU201-A81,DC Charger SECC
EGT0073-EV-BTL01GU201-A91,DC Charger Power Supply
EGT0074-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0074-EV-BTL01GU102,AC Charger 22kW 2
EGT0074-EV-BTL01GU102-H01,SIM for Charger 2
EGT0074-EV-CYA01GN001,Router & POE Switch
EGT0074-EV-CYA01GN102,CCTV 2
EGT0074-EV-CYA01GN301,SIM for Router
EGT0074-EV-BJB01GH001,Lighting
EGT0075,Khao Kheow Open Zoo
EGT0075-EV-UMC01US002,Parking lot
EGT0075-EV-UMC01GH002,Main Structure (AC)
EGT0075-EV-UMC01BB002,Fire Extinguisher 2
EGT0075-EV-BFA01GH001,MDB
EGT0075-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0075-EV-BTL01GU101-H01,SIM for Charger 1
EGT0075-EV-BTL01GU102,AC Charger 22kW 2
EGT0075-EV-BTL01GU102-A51,AC Charger Charging Gun
EGT0075-EV-BTL01GU102-H01,SIM for Charger 2
EGT0075-EV-BTL01GU103,AC Charger 22kW 3
EGT0075-EV-BTL01GU103-A51,AC Charger Charging Gun
EGT0075-EV-BTL01GU103-H01,SIM for Charger 3
EGT0075-EV-CYA01GH001,Consumer Unit
EGT0075-EV-CYA01GN001,Router & POE Switch
EGT0073-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0073-EV-BTL01GU201-F11,DC Charger IMD
EGT0073-EV-BTL01GU201-E01,DC Charger HMI
EGT0073-EV-BTL01GU201-H01,SIM for Charger
EGT0073-EV-CYA01GH001,Consumer Unit
EGT0073-EV-CYA01GN001,Router & POE Switch
EGT0073-EV-CYA01GN101,CCTV 1
EGT0073-EV-CYA01GN102,CCTV 2
EGT0073-EV-CYA01GN201,NVR
EGT0073-EV-CYA01GN301,SIM for Router
EGT0073-EV-CYA01GU001,UPS
EGT0073-EV-BJB01GH001,Lighting
EGT0074,The Nine Center
EGT0074-EV,EVCS Elex @ The Nine Center
EGT0074-EV-UMC01US002,Parking lot
EGT0074-EV-UMC01GH001,Logo Sign
EGT0074-EV-UMC01GH002,Main Structure (AC)
EGT0074-EV-UMC01BB001,Fire Extinguisher 1
EGT0074-EV-UMC01BB002,Fire Extinguisher 2
EGT0074-EV-AJA01GT001,Transformer
EGT0074-EV-BFA01GH001,MDB
EGT0075-EV-CYA01GN101,CCTV 1
EGT0075-EV-CYA01GN102,CCTV 2
EGT0075-EV-CYA01GN201,NVR
EGT0075-EV-CYA01GN301,SIM for Router
EGT0075-EV-CYA01GU001,UPS
EGT0075-EV-BJB01GH001,Lighting
EGT0076,Chiang Mai Zoo
EGT0071-EV,EVCS Elex @ Impact Arena-Novotel Outdoor Parking
EGT0071-EV-UMC01GH001,Logo Sign
EGT0071-EV-UMC01BB001,Fire Extinguisher 1
EGT0071-EV-AJA01GT001,Transformer
EGT0071-EV-BTL01GU202-A41,DC Charger Filter
EGT0071-EV-BTL01GU202-A61,DC Charger Contactor
EGT0071-EV-BTL01GU202-A81,DC Charger SECC
EGT0071-EV-BTL01GU202-F01,DC Charger DC Fuse
EGT0071-EV-BTL01GU202-E01,DC Charger HMI
EGT0071-EV-CYA01GH001,Consumer Unit
EGT0071-EV-CYA01GN101,CCTV 1
EGT0071-EV-CYA01GN201,NVR
EGT0071-EV-CYA01GU001,UPS
EGT0072-EV-BTL01GU109,AC Charger 22kW 9
EGT0072-EV-BTL01GU109-H01,SIM for Charger 9
