location,description
SMT0001-EP-CYW01EQ003,Lora Terminal at Outdoor
SMT0001-EP-CYW01EQ004-Q01,Counter at at Factory 2
SMT0001-EP-CYW01EQ006,Lora Terminal at MDB2
SMT0001-EP-CYW01EQ007,Lora Terminal at MDB3
SMT0001-EP-CYW01EQ009,Lora Terminal at Air Compressor2(C)
SMT0001-EP-CKE01,ONLINE SUPERVISORY AND DIAGNOSTIC COMPUTER
ZOO0001-ES-WAC11GH101-A02,DC Combiner box-String 2
ZOO0001-ES-WAC11GH101-A05,DC Combiner box-String 5
ZOO0001-ES-WAC11GH101-A07,DC Combiner box-String 7
ZOO0001-ES-WAC11GH101-A08,DC Combiner box-String 8
ZOO0001-ES-WAC12GH101-A03,DC Combiner box-String 3
ZOO0001-ES-WAC12GH101-A04,DC Combiner box-String 4
ZOO0001-ES-WAC12GH101-A09,DC Combiner box-String 9
ZOO0001-ES-WAC12GH101-A10,DC Combiner box-String 10
ZOO0001-ES-WAC21GH101-A03,DC Combiner box-String 3
ZOO0001-ES-WAC21GH101-A06,DC Combiner box-String 6
ZOO0001-ES-WAC21GH101-A08,DC Combiner box-String 8
ZOO0001-ES-WAC22GH101-A03,DC Combiner box-String 3
ZOO0001-ES-WAC22GH101-A05,DC Combiner box-String 5
ZOO0001-ES-WAC22GH101-A09,DC Combiner box-String 9
ZOO0001-ES-WAC31GH101-A02,DC Combiner box-String 2
ZOO0001-ES-WAC31GH101-A07,DC Combiner box-String 7
ZOO0001-ES-CYJ,Communication and Information System (Remote Metering System)
ZOO0001-ES-CYJ00GH001,API - Plant Meter
ZOO0001-ES-CYJ00GH002,API - Communication Device
ZOO0001-ES-CYJ00GH003,API - Meteo Station
EGAT-WH,EGAT IESB Warehouse
UAT002-EV,EV UAT
EP_TOOLS,EP คลังเครื่องมือ
EV_TEST,Test Storeroom
EV2_TEST,EV2_Test
PTG0001-EV,EVCS Elex @ PTG Khao Yoi 1
CHA0001-EP-CCC01AA001,594484-locationของmeter ชายเป็นคนสร้าง
AOM,597058-Piyawan05199
BKK,T05250-Location11111
ZOO0001-ES-WAC22GH101,DC Combiner box
NER,558796-NER Site 1
NBK,591250 - BLOCK11
NCN,T05252 - Location
KTK,546262-Location
BANGAOR,MRT Bang Aor
EGT,Elex By EGAT
EGT0327-EV,EVCS Elex @ 7-Eleven Baan Klang Muang (Ratchapruek Rd.)
PTG0003-EV-UMC01GH001,Logo Sign
